game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever
Total War Warhammer III,Strateji,"Good: super fun
Bad: could use some polish by the developer (yes, still after all these years)
Ugly: DLC situation

Recommendation: Buy on discount.",True,2026-05-11 14:38:54,english,6884
Total War Warhammer III,Strateji,DLC做好了就赶紧你妈拿出来啊，非要让主播先玩，操你妈的逼,False,2026-05-21 08:32:31,schinese,28107
Total War Warhammer III,Strateji,"Total War: Warhammer III is what happens when a strategy series fully embraces the fact that subtlety is overrated and that maybe the correct amount of fantasy warfare is “more.”

More monsters. More artillery. More insanity. More factions. More spectacle. More completely unreasonable battlefield decisions that somehow become legendary victories.

And somehow, instead of collapsing under its own excess, it works.

What makes Warhammer 3 special is the sheer confidence of the setting and faction design. Every faction feels like it’s playing a slightly different game. Not fake asymmetry where one faction gets +10% archers and another gets +10% taxes. Actual identity. Kislev feels stubborn and doomed in the best way. Cathay feels orderly and monumental. Chaos feels like the laws of reality filing for bankruptcy.

And then there are the Chaos Dwarfs.

Absolute industrialized evil. Magnificent.

The Chaos Dwarfs are maybe the single best faction Creative Assembly has ever made because every mechanic reinforces exactly who they are. Ruthless, hyper-industrial, cruel beyond reason, and completely unapologetic about it. Your economy runs on slavery, smoke, steel, and the kind of logistical brutality that would make a Victorian coal baron uncomfortable.

And it’s glorious.

The entire campaign feels like managing an evil war machine that constantly demands more labor, more weapons, more fuel, more expansion. Convoys, factories, infernal industry, towering daemon-forges, artillery that looks like it was designed by somebody asking “what if a train hated humanity?” It all fits together perfectly.

The battlefield experience is even better. Few things in strategy gaming compare to watching disciplined lines of infernal guard hold the center while magma cannons and dreadquake mortars turn the horizon into an industrial accident. Then bull centaurs crash into a flank while hobgoblins commit whatever crimes hobgoblins commit when unsupervised.

The scale of Warhammer 3 also deserves credit. Immortal Empires feels less like a campaign map and more like a giant fantasy sandbox where every campaign eventually spirals into mythology. Tiny regional conflicts become continent-wide wars against gods, undead monarchs, rat civilizations, or some screaming demon prince with six axes and emotional issues.

But underneath all the spectacle, the strategy layer is still strong. Diplomacy matters. Economy matters. Army composition matters. Positioning matters. The game succeeds because there’s an actual tactical foundation supporting the absurdity.

Most importantly, Warhammer 3 understands that fantasy strategy games should occasionally feel overwhelming in the best possible way. Not balanced into sterile symmetry. Not reduced to esports minimalism. Grand, ridiculous, thematic warfare where your screen becomes complete chaos and you somehow still pull victory out of the fire.

Hashut approves. And honestly, that’s enough for me.",True,2026-05-18 20:37:10,english,7041
Total War Warhammer III,Strateji,玩到后面就可以趁过回合的时间写作业，再也不怕沉迷游戏了,True,2026-05-19 15:04:16,schinese,8885
Total War Warhammer III,Strateji,"Bonjour à toutes et à tous, je ne fais jamais de commentaire sur quoi que ce soit, mais quand je vois certains com' de plusieurs joueurs, je me sentais obligé de réagir. 
Je réagis surtout suite aux com' pour le 8.0.
Vous avez oublié le chemin parcouru. Comme certains d'entre vous, j'ai pu m'éclater sur les total war historiques, tels que Napoléon, Empire, Rome 2, Attila, le triste Pharoah et le ultra punitif Shogun 2 xD.
Dès l'annonce du premier TWW, j'étais fou. 
Dès l'arrivée de TWW 2, j'étais aux anges. 
Et comme beaucoup, j'ai été déçu à l'arrivée de TWW 3.
Creative Assembly a merdé sur pas mal de points: sa communication, son suivi réel des ressentis des joueurs et ainsi de suite. 
Je ne reviendrais pas sur les prix des DLC, les contenus. Il y a eu bien assez de romans écrits sur ce sujet.
Oui il y a des bugs, des problèmes d'équilibrages, de délai sur les correctifs apportés et leurs quantités. 
Mais mince quoi... On a la possibilité de jouer à l'une des adaptation sur PC de l'un des univers de Fantasy les plus garnis de cette planète.
Au vu de la quantité de lore, d'unité qui prennent vie via notre souris, êtes-vous réellement surpris qu'il y ai des problèmes d'équilibrage ?
Les bugs font parti de la vie des jeux. Plus il est volumineux et dense en termes de données, d'unités, forcément ça suit.
Creative Assembly travaille sur plusieurs projets : TW Medieval 3, TW W40k, TWW3 lords of the ends times, les DLC et les correctifs.
Sans oublier la pression de Sega suite à certains échecs comme Hyena.
Lorsque vous laissez un commentaire haineux, ne vous posez-vous jamais la question de l'impact ?
Oui nous attendons toutes et tous un retour sur investissement lorsque l'on achète un jeu et ses DLC.
Mais de par mon vécu professionnel, je ne peux m'empêcher de me poser certaines questions : 
quel effectif sur quel projet ? quel réel support pour l'équipe travaillant sur les correctifs par exemple ?
Vous ne savez rien de leur quotidien, la pression exercée aussi bien en interne qu'en externe.
Et vous crachez à la figure de ceux qui, tant bien que mal, ont mis dans nos mains un jeux-vidéo Fantasy sans précédent. Bravo.
Vous avez oublié les débuts de TWW 1 ? 5 factions jouables, deux seigneurs légendaires par faction et on s'éclatait déjà bien ! 
On en est à cb aujourd'hui ? Regardez en arrière. Oui il y a des fautes, mais ne venez pas chier sur leur gueule pour autant.
CA a merdé, s'adapte et fait au mieux, je n'en doute pas. Perso, je fais le choix de garder espoir.
à bon entendeur, salut.",True,2026-05-21 08:58:01,french,49763
Total War Warhammer III,Strateji,"缺点是我感觉比前两作的兼容性差一些，遇到过好几次闪退了，无论是A卡还是N卡。
但是游戏性还是很不错的，比前两作势力更多，内容也更丰富一点。

中国玩家买锤三主要就是因为有震旦。这里必须表扬一下，震旦势力没有用满清野猪人和蒙古蛋子的元素，美工水平也棒，人物在锤系审美里算是很美观了，势力背景设定也不拉胯，很容易联想到宋军和明军，冲这个美工和文化上的尊重，必须支持一波。另外gw的战棋，tow和40k也是花了接近一万了，咱这里尊重中国汉族玩家的结果就是闷声发大财。

写在这期DLC：希望后边可以避免furry元素，坚持以东亚汉族人的角色为本，战锤玩家不是二次元。增加职业，性格和背景人设的多样化远比搞一堆熊猫人老虎人什么的有意义。比如日本的忍者和武士元素是很丰富很多人喜欢的，为什么不能引入一些中国周代和汉代武士背景的角色呢？万军从中一换一的狠角色，人气不会差的。之前的陶俑巨兽是很棒的美术设计，这样类似的有文物和文化做背景设计出来的角色，本身就更真实和更有代入感。暴雪魔兽世界的熊猫人DLC是他很糟糕的一步棋，就是因为美术元素的割裂和低代入感导致的吗，希望gw在这方面不要重蹈覆辙。另外老生常谈的中国神话角色建议避开，因为你是战锤宇宙，如果完全采用等同于中国神话宇宙的角色，就会产生严重的割裂感和审美疲劳。我已经在十几个外国开发团队的游戏里见到孙悟空和哪吒这些人了，我不希望他们又出现在全战震旦势力里（虽然故事里好像孙悟空已经有了？）。偏真实魔化风格的游戏，要避免过于神话的故事设定和审美疲劳。希望gw这方面多做思考。",True,2026-05-19 13:17:04,schinese,13077
Total War Warhammer III,Strateji,"At it's current state it's really boring and unbalanced.
The AI attacks only unwalled settlements which makes it a cat and mouse chase game, since CA in it's infinite wisdom removed minor settlements walls.
The AI also goes out of it's way to go around your armies, and not attacking them.(Total Chase: Warhammer 3)
The AI's AntiPlayer Bias is outright silly, and makes you run around putting out fires which removes the grand strategy layer or at least reduce it significally.
The Vassal system and Alliance system is broken. 
As soon as you ally or subjucate a faction, they become totally braindead.
The AI cheats is also out of whack!

In it's state i will not recommend the game, it's broken and unbalanced.
I really used to love this series, but it needs alot of fixes AI and campaign wise!",False,2026-05-22 16:08:41,english,113407
Total War Warhammer III,Strateji,该死的邪恶CA，三天一小更，十天一大更，还是强制更新！更新完我回退之前的版本，游戏直接进不去了，怎么的？战锤MOD大佬的MOD和玩家存档能流畅运行，你CA就浑身难受是吗,False,2026-05-27 08:54:30,schinese,6232
Total War Warhammer III,Strateji,"I bought the ""Total War: Warhammer III Collection"" bundle idiotically believing that it would unlock all of the content for the game. What a fool I was. CREATIVE ASSEMBLY and Games Workshop are greedy. How can you hope for a fair, clear sale from the greedy? What a grand and intoxicating innocence. How could I be so naive? There is no deal.

Buying the $85.22 bundle--on sale 55% off, by the way, $190.68 normally, at the time of writing (it WILL go higher as they churn out more DLC)--does not actually include all of the DLC for this game. But even if you did then fill in all of the gaps by buying the rest of this game's DLC, you would still be missing content, because guess what? Want to play even the most basic, straightforward factions in Warhammer, like, I don't know, the Empire? Well sorry, your only option for the Empire is some totally-not-a-vampire-chick--the actual Emperor Karl Franz is off limits, along with most other factions in their ENTIRETY--unless you also buy BOTH of their previous Total War: Warhammer games, AND the DLC for those games in order to ACTUALY actually unlock everything. I think, anyway. Maybe their is some secret extra DLC I'll find out the game is withholding from me later on, they've done it once before already, after all.

The way they're chopping up their game so they can sell the parts of it that were already in the previous game back to you piecemeal nearly rivals EA in it's brazen greed--the only thing that keeps it from being on par being the fact that if you already owned the the previous games and their DLC, then I guess you don't need to rebuy it.

Also, just to be crystal clear, abhorrent DLC practices aside, even if I had gotten the game and all of its DLC for free (and all of the previous games and their DLC too, since again you need that for all this game's content), I still wouldn't recommend the game on the basis of quality either. At its best, it's just fine. But generally it's worse than Total War: SHOGUN 2, a game in same Total War series that came out over 2 decades earlier. The series doesn't just seem to have not made any progress in ten+ years, but has actually regressed significantly. This game has worse balance, worse gameplay, is bloated with ability micromanagement, uninteresting tech and skill trees, generally shallower settlement management, and dozens of missing features that have been inexplicably been removed, like the ability to manage the shape/closeness of units to adapt to archer fire or melee combat, cutscenes for hero actions, pre-battle speeches. They made recruitment worse, because units can't navigate the map without being in a lord's army, so when you call for recruitment from an army, instead of the unit being created and then walking on it's own to your army, the army is frozen for several turns while your reinforcements are bottlenecked through a faction wide shared, magic teleporting ""global recruitment"". Or you do what I do and have a scuffed system of ""recruitment jockey"" lords who's only job is ferrying back and forth units to your front line. Moving multiple units uniformly and precisely as a formation used to have a convenient button panel, but now it's hidden away behind hotkeys that you've got to look up every ten seconds. It also has gamebreaking bugs, like for example, when entering the realm of Chaos, the game might just softlock by having a cutscene never end, leaving you with letterboxing covering 50% of your screen, and no way to open the game's menu.",False,2026-05-26 23:05:23,english,3986
Total War Warhammer III,Strateji,"Este juego es una maravilla, es innegable, tiene unas dimensiones absurdamente inabarcables, eso explica que lleve casi 180 horas jugadas, y aún me faltarán 180 horas más por jugar. 

Me he ceñido a jugar las campañas con las diversas facciones, ya que cada una integra elementos propios, que alteran ligeramente la campaña, algunas misiones propias, finales alternativos, etc. He de decir que en ese sentido hace que el juego sea rejugable casi hasta el infinito. Además está la parte multijugador para quien le interese, a mi personalmente solo me interesa jugar campaña para relajarme y pasar el rato. 

El juego presenta una sección de gestión, en la que comprar edificios, tropas, y mover los ejercitos de un lado a otro. Y otra sección de batallas, en las cuales se pone especialmente táctico, y hay que buscar un posicionamiento idóneo para tu estrategia. Como en este tipo de juegos puedes centrarte en la primera fase y saltar las batallas de forma automática, o jugarlas (aunque esto alarga ya la alargada campaña)

En cuanto a la ambientación en el mundo warhammer es perfecta, e incluso la amplia introduciendo a Cathay como ejercito jugable, con una interpretación propia y singular. 

Por lo que es un juego recomendable.

Puntos positivos.
-Warhammer, fidedigno, tanto en la ambientación como en el propio juego de mesa, se asemeja mucho, en cuanto al posicionamiento de las unidades, la configuración de ejércitos, los objetos etc, aunque es en tiempo real y no por turnos.
-Rejugabilidad absurdamente amplia.
-Varias facciones con sus propias estrategias, algunas muy locas, otras más lógicas, en esencia, hay ejércitos de un sólo héroe (Vlad, Teclis, Skarbrand), ejércitos de artillería, (Imperio, Enanos, Cathay), ejércitos de confrontación frontal y masa, (Caos, demonios del Caos, Orkos, Bretonia), ejércitos de magia (Altos Elfos, Tzeentch), ejércitos de hostigamiento (altos elfos, elfos oscuros). Y aún con esos arquetipos se pueden configurar ejércitos diferentes dentro de cada facción, sobre todo en función a cada comandante. 
-Historia, pues no tiene como tal, si bien el mapa está lleno de detalles, y cada comandante tiene sus propias misiones que narran muy ligeramente la historia de los mismos. Si ya estás en el mundo te enteras de que van, si no tienes idea de Warhammer se va a quedar muy triste.
-Da mucha satisfacción usar a Vlad o a Teclis contra los Skavens, y que ellos solos eliminen a 2000 o 3000 ratas, por no hablar de que es la mejor forma de conseguir algún logro de steam. 

Puntos malos.
-El precio, es ridiculo la cantidad de DLC que tiene, es cierto que en mi caso por ejemplo, al ponerlo en la lista de deseados, Steam a la semana me hizo una rebaja del 87%, por lo que por unos 100 euros pude adquirir todos los DLC, pero sin oferta, ni pack, el precio es absurdo, y la versión base del juego se queda corta, muy poca variedad de ejercitos.
-La diplomacia está trucada para que en la partida los buenos vayan con los buenos, los malos con los malos, es cierto que tiene su lógica en la historia pero le quita gracia al asunto. Intenté seriamente hacer una partida de Vlad aliado al Imperio, y fue imposible, creo que hay opciones para modificar algunas cosas de la partida, pero yo personalmente no las he encontrado. 
-Hay campañas que se hacen muy simples de ganar, y otras muy difíciles, casi se puede ver como un modo de dificultad añadido, pero considero seriamente que es casi imposible vencer algunas partidas, si un rival concreto no ha sido eliminado en las fases iniciales del juego. 

En fin, un juegazo para los amantes de warhammer, que queda como lo más parecido al juego de mesa que fue.",True,2026-05-20 11:00:28,spanish,11692
