game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Baldur's Gate 3,RPG,"真的太好玩了，只可惜人生从不是博德之门。
游戏里每一次命运抉择，都能掷下骰子赌一次运气，选错了还能读档重来，善恶分支都有华丽剧情烘托，还有专属配乐渲染氛围，身边永远有队友一路相伴同行。
可现实里的人生选择，从来没有骰子给你兜底，没有读档重来的机会，没有盛大的铺垫，也没有悠扬的 BGM 提醒。很多改变一生的决定，往往就在转瞬之间悄无声息落下，无从反悔，也无法回头。",True,2026-05-14 10:03:45,schinese,13076,真的太好玩了 只可惜人生从不是博德之门 游戏里每一次命运抉择 都能掷下骰子赌一次运气 选错了还能读档重来 善恶分支都有华丽剧情烘托 还有专属配乐渲染氛围 身边永远有队友一路相伴同行 可现实里的人生选择 从来没有骰子给你兜底 没有读档重来的机会 没有盛大的铺垫 也没有悠扬的 BGM 提醒 很多改变一生的决定 往往就在转瞬之间悄无声息落下 无从反悔 也无法回头,schinese,"It’s really fun. It’s a pity that life is never like Baldur’s Gate. Every fate choice in the game means you can roll the dice and bet on your luck. If you make a wrong choice, you can load the game again. The branches of good and evil have gorgeous plots and exclusive soundtracks to enhance the atmosphere. You will always have teammates by your side to accompany you all the way. But in real life, there is no dice to give you the full answer. There is no chance to load the game again. There is no grand foreshadowing and no melodious BGM to remind you of many life-changing decisions. Often they fall silently in the blink of an eye. There is no way to regret or look back.",0.169,0.765,0.066,-0.9364,negative,0
Baldur's Gate 3,RPG,"Офигенный симулятор свиданий, правда много воды в виде тактических боёвок и каких-то моральных решений... 10 личинок из 10.",True,2026-05-17 09:18:01,russian,8034,"Офигенный симулятор свиданий, правда много воды в виде тактических боёвок и каких-то моральных решений... 10 личинок из 10.",russian,"An awesome dating simulator, though there is a lot of water in the form of tactical battles and some moral decisions... 10 larvae out of 10.",0.085,0.782,0.134,0.3612,positive,1
Baldur's Gate 3,RPG,"I’d easily recommend Baldur’s Gate 3 to anyone who likes RPGs, fantasy stories, or games where your choices actually matter. It’s one of those games that completely pulls you in after a few hours because every decision feels important, whether it changes relationships, quests, or even entire outcomes later in the story. Nothing really feels “scripted” the way a lot of games do. The characters are probably the best part for me. Everyone in your party feels like a real person with their own problems, personalities, and motives instead of just side characters following you around. I got attached to the companions way more than I expected to, and the dialogue actually made me care about what happened to them. The combat can seem overwhelming at first, especially if you’re not used to turn-based games, but once it clicks it becomes really satisfying. There are so many different ways to approach fights that it never feels repetitive. You can play smart, chaotic, stealthy, or just completely improvise and somehow it still works. Another thing I liked is how much freedom the game gives you. Most games pretend to give choices, but Baldur’s Gate 3 actually lets you solve situations however you want. Sometimes the funniest moments happen when your original plan completely fails and the game just rolls with it instead of punishing you for trying something different. Overall, it’s one of the few games that actually feels worth the time because there’s so much detail, replay value, and effort put into it. Even after finishing it, I still wanted to go back and see how different choices would change everything. 10/10!",True,2026-05-09 06:29:47,english,25576,"I d easily recommend Baldur s Gate 3 to anyone who likes RPGs, fantasy stories, or games where your choices actually matter. It s one of those games that completely pulls you in after a few hours because every decision feels important, whether it changes relationships, quests, or even entire outcomes later in the story. Nothing really feels scripted the way a lot of games do. The characters are probably the best part for me. Everyone in your party feels like a real person with their own problems, personalities, and motives instead of just side characters following you around. I got attached to the companions way more than I expected to, and the dialogue actually made me care about what happened to them. The combat can seem overwhelming at first, especially if you re not used to turn-based games, but once it clicks it becomes really satisfying. There are so many different ways to approach fights that it never feels repetitive. You can play smart, chaotic, stealthy, or just completely improvise and somehow it still works. Another thing I liked is how much freedom the game gives you. Most games pretend to give choices, but Baldur s Gate 3 actually lets you solve situations however you want. Sometimes the funniest moments happen when your original plan completely fails and the game just rolls with it instead of punishing you for trying something different. Overall, it s one of the few games that actually feels worth the time because there s so much detail, replay value, and effort put into it. Even after finishing it, I still wanted to go back and see how different choices would change everything. 10 10!",english,"I d easily recommend Baldur s Gate 3 to anyone who likes RPGs, fantasy stories, or games where your choices actually matter. It s one of those games that completely pulls you in after a few hours because every decision feels important, whether it changes relationships, quests, or even entire outcomes later in the story. Nothing really feels scripted the way a lot of games do. The characters are probably the best part for me. Everyone in your party feels like a real person with their own problems, personalities, and motives instead of just side characters following you around. I got attached to the companions way more than I expected to, and the dialogue actually made me care about what happened to them. The combat can seem overwhelming at first, especially if you re not used to turn-based games, but once it clicks it becomes really satisfying. There are so many different ways to approach fights that it never feels repetitive. You can play smart, chaotic, stealthy, or just completely improvise and somehow it still works. Another thing I liked is how much freedom the game gives you. Most games pretend to give choices, but Baldur s Gate 3 actually lets you solve situations however you want. Sometimes the funniest moments happen when your original plan completely fails and the game just rolls with it instead of punishing you for trying something different. Overall, it s one of the few games that actually feels worth the time because there s so much detail, replay value, and effort put into it. Even after finishing it, I still wanted to go back and see how different choices would change everything. 10 10!",0.072,0.761,0.167,0.9789,positive,1
Baldur's Gate 3,RPG,bu oyunu insan yapmış olamaz buney böyle amk (çeviri ekibinin taşşakları fenasal büyük),True,2026-05-09 11:34:21,turkish,8806,bu oyunu insan yapmış olamaz buney böyle amk (çeviri ekibinin taşşakları fenasal büyük),turkish,"This game couldn't have been made by humans, it's like this (the translation team's balls are huge as hell)",0.181,0.63,0.189,-0.2023,negative,0
Baldur's Gate 3,RPG,"At first I was not sure I wanted to buy it
I was afraid that I would not like it when I played it
But
This game became the best game of my life
I loved all the features of the game from the dialogues to the characterization to ...

Anyway, the only negative thing I can say about it is the photo mode of the game, which I expected much more and better from it

If you recently bought the game
Have fun",True,2026-05-17 12:53:56,english,13309,"At first I was not sure I wanted to buy it I was afraid that I would not like it when I played it But This game became the best game of my life I loved all the features of the game from the dialogues to the characterization to ... Anyway, the only negative thing I can say about it is the photo mode of the game, which I expected much more and better from it If you recently bought the game Have fun",english,"At first I was not sure I wanted to buy it I was afraid that I would not like it when I played it But This game became the best game of my life I loved all the features of the game from the dialogues to the characterization to ... Anyway, the only negative thing I can say about it is the photo mode of the game, which I expected much more and better from it If you recently bought the game Have fun",0.077,0.719,0.204,0.9475,positive,1
Baldur's Gate 3,RPG,"История о том, как нейросеть на основе хоть и мёртвой, но гигантской биоструктуры, трёх богов нахлобучила. Если кто-то и способен срежиссировать всеобъемлющий тайный заговор… то это «Она»!

[h1]Abstract[/h1]
The tale of how a neural network, reborn from a dead but colossal bio-structure, screwed over three gods. If anyone could pull off a giant, all-devouring hidden conspiracy… it’s the Lady. The native GNU/Linux port works without issues through Act 1 and Act 2 on [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3688264533]computer[/url] with AMD Ryzen 9 5900X, QHD monitor, Nvidia GTX 4070 (driver version 580.142), SSD and 32 GB RAM. In Act 3, 'Error 804' broke the save system. Troubleshooting led to switching to the Windows port using Proton 10.0-4, but the actual fix was likely deleting 90% of the save files. Keeping the save file count low prevented further instances of the error. 

[h1]Эпические факты[/h1]
✔ Со сколькими богами здесь можно пообщаться? [spoiler]Семью,[/spoiler] причём один тусуется прямо в вашем лагере.
✔ Есть ли ту драконы? Вы их не пропустите, так как первое появление они сделают во вводном ролике. [spoiler]Двоих из них можно будет убить лично, правда один и так уже дохлый…[/spoiler]
✔ Сколько Высших Дьяволов встретится на нашем пути? [spoiler]Один и это Юргир. Рафаэль и Минзора всего лишь камбионы несмотря на весь свой пафос.[/spoiler] А жаль. Вот чего мне хочется прямо сейчас, так это адаптацию приквела «Нисхождение в Авернус» для ПК, естественно с кратным увеличением контента, чтобы не получилось [url=https://steamcommunity.com/profiles/76561198084019881/recommended/3843520]как обычно.[/url] 
✔ Сколько книг здесь можно найти и прочитать? [spoiler]Говорят, что в игре имеется 760+ уникальных текстовых фрагментов.[/spoiler] Я точно потратил на это счастье несколько десятков часов. Тексты прекрасны, хоть и фрагментарны…
✔ Можно ли тут разговаривать с мёртвыми? Нужно! Эта механика превращает каждый подходящий для разговора труп в ещё одну книгу, а книги я люблю!
✔ А как на счёт любимых «старых» героев? Кое-кто [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3670474534]постарел,[/url] кое-кто [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3687928821]двинулся на инцесте и евгенике,[/url] кому-то удалось меня [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3692180542]расстроить[/url] и только [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3690212401]Бу по прежнему хорош![/url]
✔ Можно ли тут собрать эффективную странную комбинацию классов? Попробуйте [url=https://gamestegy.com/post/bg3/976/barbarian-berserker-thrower-build]Throwzerker[/url] — билд через метание предметов. Я узнал, что в итоговой битве оказывается можно было призывать союзников (я их по идее для этого весь третий акт собирал), уже после того, как прибил главную нейросеть, хоть на неё броски и не действуют. Разве что оружие подходящее для этого билда нужно специально искать.
✔ Есть ли тут сильные женщины? Куда же без них и две самые сильные в твоей партии. Если что, то я про Карлах и Минтару. Из NPC меня своей непосредственностью и пофигизмом буквально заворожила [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3724729123]Валерия.[/url] В частности по этой причине хочу приквел «Нисхождение в Авернус». Надежда (Hope) тоже вся из себя интересная, но кукуха у неё давно уехала…
✔ А что на счёт сильных мужчин? Есть: два лысых и два волосатых, зато один из них Бу и ещё один Император!
✔ Есть ли что-то сравнимое с изначальным [url=https://steamcommunity.com/profiles/76561198084019881/recommended/228280/]Baldur's Gate?[/url] Да! [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3670472888]Первый акт[/url] даёт вайбы как в том самом первом приключении! Там хорошо буквально всё. По своему прекрасны и поверхность, и Underdark.
✔ Какова основная проблема Врат Балдура? Уж слишком там много домов и помимо того, что движок игры не очень хорошо взаимодействует с многоэтажными конструкциями здесь в [b]каждом[/b] доме есть подвал или чердак где в лучшем случае лежит гора трупов, а рядом шатается Повелитель мумий (Mummy Lord), а в худшем случае на костяном троне сидит и дуется на весь мир Саревок! Простых домов, которые можно безыскусно обворовать тут нет. Обязательно вляпаешься в какой-нибудь квест…
✔ Есть ли тут программные ошибки? Да, и самая мерзкая имеет номер 804!
✔ Не провисла ли концовка? Тут полный порядок. Эндгейм весьма эпичен, хоть и линеен. В качестве фансервиса была устроена специальная божественная ([spoiler]присутствовало два бога[/spoiler]) вечеринка, на которой все сопартийцы встретились ещё раз. Лариан подготовила свыше 17 тысяч вариаций описаний состояния дел по итогу приключения.
✔ А что провисло? Для меня это [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3670473957]второй акт,[/url] но скорее всего по причине общей унылой атмосферы проклятой земли. Как-то это угнетает. 
✔ Что вообще в игре напрягает? Эти постоянные приближения камеры даже при самом мелком разговоре. В 90% диалогов это лишнее.
✔ Можно ли тут пропустить сопартийца идя по сюжету? Легко. Можно так же и убить сгоряча.
✔ Кого лучше выбрать в партию? В принципе из каждого сопартийца в лагере за очень разумные деньги можно вылепить что угодно. У некоторых есть завязанные на них квесты. Того же Минска спасть нужно с Джахейрой в своей партии. Но по большому счёту всё равно.
✔ А всё-таки? В итоге в качестве фронтлайнера я предпочитал Минтару с копьём Силунэ, хотя её легко заменяет как Карлах, так и Лаэзель. В партии обязательно должен быть вор и если это не протагонист, то лучше сделать упор на Астариона с двумя одноручными арбалетами. Поддержку я спихнул на Шедоухарт, которая была просто незаменима во втором Акте со своими Стражами духа. Ей достаточно было вызвать их и просто ходить между противниками. В третьем акте её польза в целом пошатнулась, так что вместо неё на сложный бой можно брать любого боевика. Тех же Карлах или Лаэзель.
✔ Как там с лутом? Прекрасно. Специальная олимпиада по раскладыванию легендарок по своим соратникам ждёт вас!
✔ Можно ли здесь сохраняться по желанию? Да, причём сохраняться можно и во время боя и во время разговора. Всё отрабатывается при загрузке файла сохранения без накладок.
✔ Вот я прошёл/прошла BG3, посмотрел/посмотрела на всё это и идеальную в своём роде концовку. Имеет ли смысл перепроходить второй раз? Ты почти наверняка пропустил/пропустила Тёмного Соблазна (The Dark Urge) в качестве протагониста. А ведь именно он всё это заварил!

[h1]Локализация[/h1]
Без проблем. Можно включать. Язык субтитров и описаний переключается по правой кнопке в ланчере Steam во вкладке Общие. Судя по английской озвучке перевод субтитров в целом правильно доносит информацию до игрока.

[h1]Как убрать ланчер Лариан?[/h1]
Правая кнопка в ланчере Steam, вкладка Общие, Параметры запуска:
[code]
%command% --skip-launcher
[/code]

[h1]🐧 GNU/Linux[/h1]
Спустился в Авернус вместе с Карлах на [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3688264533]компьютере[/url] с процессором AMD Ryzen 9 5900X, видеокартой Nvidia GTX 4070 (версия драйвера 580.142), монитором QHD, SSD и 32 ГБ оперативной памяти под управлением Ubuntu 24.04. Вплоть до конца второго акта родной порт отработал без нареканий. Третий акт был испорчен регулярным появлением сообщения «Ошибка 804», которое означало, что здесь и сейчас сохраниться не получится. В процессе беспорядочного поиска решения проблемы я переключился на Windows-порт (Proton 10.0-4), но предположительно положение исправила чистка save-файлов (первый раз удалил 90% от имеющихся). Такое впечатление, что с ростом объёма save-файлов их общее число нужно сокращать. Пару раз проблема возвращалась, но более жёсткая чистка save-файлов её решала.

[b]P.S.[/b] Этот и [url=https://steamcommunity.com/sharedfiles/filedetails/?id=3606020893]другие мои обзоры[/url] можно глянуть у куратора [url=https://store.steampowered.com/curator/35831383/]Записки линуксоида.[/url]",True,2026-05-16 09:18:59,russian,17753,"История о том, как нейросеть на основе хоть и мёртвой, но гигантской биоструктуры, трёх богов нахлобучила. Если кто-то и способен срежиссировать всеобъемлющий тайный заговор то это Она ! h1 Abstract h1 The tale of how a neural network, reborn from a dead but colossal bio-structure, screwed over three gods. If anyone could pull off a giant, all-devouring hidden conspiracy it s the Lady. The native GNU Linux port works without issues through Act 1 and Act 2 on url with AMD Ryzen 9 5900X, QHD monitor, Nvidia GTX 4070 (driver version 580.142), SSD and 32 GB RAM. In Act 3, 'Error 804' broke the save system. Troubleshooting led to switching to the Windows port using Proton 10.0-4, but the actual fix was likely deleting 90 of the save files. Keeping the save file count low prevented further instances of the error. h1 Эпические факты h1 Со сколькими богами здесь можно пообщаться? spoiler Семью, spoiler причём один тусуется прямо в вашем лагере. Есть ли ту драконы? Вы их не пропустите, так как первое появление они сделают во вводном ролике. spoiler Двоих из них можно будет убить лично, правда один и так уже дохлый spoiler Сколько Высших Дьяволов встретится на нашем пути? spoiler Один и это Юргир. Рафаэль и Минзора всего лишь камбионы несмотря на весь свой пафос. spoiler А жаль. Вот чего мне хочется прямо сейчас, так это адаптацию приквела Нисхождение в Авернус для ПК, естественно с кратным увеличением контента, чтобы не получилось url обычно. url Сколько книг здесь можно найти и прочитать? spoiler Говорят, что в игре имеется 760 уникальных текстовых фрагментов. spoiler Я точно потратил на это счастье несколько десятков часов. Тексты прекрасны, хоть и фрагментарны Можно ли тут разговаривать с мёртвыми? Нужно! Эта механика превращает каждый подходящий для разговора труп в ещё одну книгу, а книги я люблю! А как на счёт любимых старых героев? Кое-кто url кое-кто url на инцесте и евгенике, url кому-то удалось меня url и только url по прежнему хорош! url Можно ли тут собрать эффективную странную комбинацию классов? Попробуйте url билд через метание предметов. Я узнал, что в итоговой битве оказывается можно было призывать союзников (я их по идее для этого весь третий акт собирал), уже после того, как прибил главную нейросеть, хоть на неё броски и не действуют. Разве что оружие подходящее для этого билда нужно специально искать. Есть ли тут сильные женщины? Куда же без них и две самые сильные в твоей партии. Если что, то я про Карлах и Минтару. Из NPC меня своей непосредственностью и пофигизмом буквально заворожила url В частности по этой причине хочу приквел Нисхождение в Авернус . Надежда (Hope) тоже вся из себя интересная, но кукуха у неё давно уехала А что на счёт сильных мужчин? Есть два лысых и два волосатых, зато один из них Бу и ещё один Император! Есть ли что-то сравнимое с изначальным url Gate? url Да! url акт url даёт вайбы как в том самом первом приключении! Там хорошо буквально всё. По своему прекрасны и поверхность, и Underdark. Какова основная проблема Врат Балдура? Уж слишком там много домов и помимо того, что движок игры не очень хорошо взаимодействует с многоэтажными конструкциями здесь в b каждом b доме есть подвал или чердак где в лучшем случае лежит гора трупов, а рядом шатается Повелитель мумий (Mummy Lord), а в худшем случае на костяном троне сидит и дуется на весь мир Саревок! Простых домов, которые можно безыскусно обворовать тут нет. Обязательно вляпаешься в какой-нибудь квест Есть ли тут программные ошибки? Да, и самая мерзкая имеет номер 804! Не провисла ли концовка? Тут полный порядок. Эндгейм весьма эпичен, хоть и линеен. В качестве фансервиса была устроена специальная божественная ( spoiler присутствовало два бога spoiler ) вечеринка, на которой все сопартийцы встретились ещё раз. Лариан подготовила свыше 17 тысяч вариаций описаний состояния дел по итогу приключения. А что провисло? Для меня это url акт, url но скорее всего по причине общей унылой атмосферы проклятой земли. Как-то это угнетает. Что вообще в игре напрягает? Эти постоянные приближения камеры даже при самом мелком разговоре. В 90 диалогов это лишнее. Можно ли тут пропустить сопартийца идя по сюжету? Легко. Можно так же и убить сгоряча. Кого лучше выбрать в партию? В принципе из каждого сопартийца в лагере за очень разумные деньги можно вылепить что угодно. У некоторых есть завязанные на них квесты. Того же Минска спасть нужно с Джахейрой в своей партии. Но по большому счёту всё равно. А всё-таки? В итоге в качестве фронтлайнера я предпочитал Минтару с копьём Силунэ, хотя её легко заменяет как Карлах, так и Лаэзель. В партии обязательно должен быть вор и если это не протагонист, то лучше сделать упор на Астариона с двумя одноручными арбалетами. Поддержку я спихнул на Шедоухарт, которая была просто незаменима во втором Акте со своими Стражами духа. Ей достаточно было вызвать их и просто ходить между противниками. В третьем акте её польза в целом пошатнулась, так что вместо неё на сложный бой можно брать любого боевика. Тех же Карлах или Лаэзель. Как там с лутом? Прекрасно. Специальная олимпиада по раскладыванию легендарок по своим соратникам ждёт вас! Можно ли здесь сохраняться по желанию? Да, причём сохраняться можно и во время боя и во время разговора. Всё отрабатывается при загрузке файла сохранения без накладок. Вот я прошёл прошла BG3, посмотрел посмотрела на всё это и идеальную в своём роде концовку. Имеет ли смысл перепроходить второй раз? Ты почти наверняка пропустил пропустила Тёмного Соблазна (The Dark Urge) в качестве протагониста. А ведь именно он всё это заварил! h1 Локализация h1 Без проблем. Можно включать. Язык субтитров и описаний переключается по правой кнопке в ланчере Steam во вкладке Общие. Судя по английской озвучке перевод субтитров в целом правильно доносит информацию до игрока. h1 Как убрать ланчер Лариан? h1 Правая кнопка в ланчере Steam, вкладка Общие, Параметры запуска code command --skip-launcher code h1 GNU Linux h1 Спустился в Авернус вместе с Карлах на url с процессором AMD Ryzen 9 5900X, видеокартой Nvidia GTX 4070 (версия драйвера 580.142), монитором QHD, SSD и 32 ГБ оперативной памяти под управлением Ubuntu 24.04. Вплоть до конца второго акта родной порт отработал без нареканий. Третий акт был испорчен регулярным появлением сообщения Ошибка 804 , которое означало, что здесь и сейчас сохраниться не получится. В процессе беспорядочного поиска решения проблемы я переключился на Windows-порт (Proton 10.0-4), но предположительно положение исправила чистка save-файлов (первый раз удалил 90 от имеющихся). Такое впечатление, что с ростом объёма save-файлов их общее число нужно сокращать. Пару раз проблема возвращалась, но более жёсткая чистка save-файлов её решала. b P.S. b Этот и url мои обзоры url можно глянуть у куратора url линуксоида. url",russian,"История о том, как нейросеть на основе хоть и мёртвой, но гигантской биоструктуры, трёх богов нахлобучила. Если кто-то и способен срежиссировать всеобъемлющий тайный заговор то это Она ! h1 Abstract h1 The tale of how a neural network, reborn from a dead but colossal bio-structure, screwed over three gods. If anyone could pull off a giant, all-devouring hidden conspiracy it s the Lady. The native GNU Linux port works without issues through Act 1 and Act 2 on url with AMD Ryzen 9 5900X, QHD monitor, Nvidia GTX 4070 (driver version 580.142), SSD and 32 GB RAM. In Act 3, 'Error 804' broke the save system. Troubleshooting led to switching to the Windows port using Proton 10.0-4, but the actual fix was likely deleting 90 of the save files. Keeping the save file count low prevented further instances of the error. h1 Эпические факты h1 Со сколькими богами здесь можно пообщаться? spoiler Семью, spoiler причём один тусуется прямо в вашем лагере. Есть ли ту драконы? Вы их не пропустите, так как первое появление они сделают во вводном ролике. spoiler Двоих из них можно будет убить лично, правда один и так уже дохлый spoiler Сколько Высших Дьяволов встретится на нашем пути? spoiler Один и это Юргир. Рафаэль и Минзора всего лишь камбионы несмотря на весь свой пафос. spoiler А жаль. Вот чего мне хочется прямо сейчас, так это адаптацию приквела Нисхождение в Авернус для ПК, естественно с кратным увеличением контента, чтобы не получилось url обычно. url Сколько книг здесь можно найти и прочитать? spoiler Говорят, что в игре имеется 760 уникальных текстовых фрагментов. spoiler Я точно потратил на это счастье несколько десятков часов. Тексты прекрасны, хоть и фрагментарны Можно ли тут разговаривать с мёртвыми? Нужно! Эта механика превращает каждый подходящий для разговора труп в ещё одну книгу, а книги я люблю! А как на счёт любимых старых героев? Кое-кто url кое-кто url на инцесте и евгенике, url кому-то удалось меня url и только url по прежнему хорош! url Можно ли тут собрать эффективную странную комбинацию классов? Попробуйте url билд через метание предметов. Я узнал, что в итоговой битве оказывается можно было призывать союзников (я их по идее для этого весь третий акт собирал), уже после того, как прибил главную нейросеть, хоть на неё броски и не действуют. Разве что оружие подходящее для этого билда нужно специально искать. Есть ли тут сильные женщины? Куда же без них и две самые сильные в твоей партии. Если что, то я про Карлах и Минтару. Из NPC меня своей непосредственностью и пофигизмом буквально заворожила url В частности по этой причине хочу приквел Нисхождение в Авернус . Надежда (Hope) тоже вся из себя интересная, но кукуха у неё давно уехала А что на счёт сильных мужчин? Есть два лысых и два волосатых, зато один из них Бу и ещё один Император! Есть ли что-то сравнимое с изначальным url Gate? url Да! url акт url даёт вайбы как в том самом первом приключении! Там хорошо буквально всё. По своему прекрасны и поверхность, и Underdark. Какова основная проблема Врат Балдура? Уж слишком там много домов и помимо того, что движок игры не очень хорошо взаимодействует с многоэтажными конструкциями здесь в b каждом b доме есть подвал или чердак где в лучшем случае лежит гора трупов, а рядом шатается Повелитель мумий (Mummy Lord), а в худшем случае на костяном троне сидит и дуется на весь мир Саревок! Простых домов, которые можно безыскусно обворовать тут нет. Обязательно вляпаешься в какой-нибудь квест Есть ли тут программные ошибки? Да, и самая мерзкая имеет номер 804! Не провисла ли концовка? Тут полный порядок. Эндгейм весьма эпичен, хоть и линеен. В качестве фансервиса была устроена специальная божественная ( spoiler присутствовало два бога spoiler ) вечеринка, на которой все сопартийцы встретились ещё раз. Лариан подготовила свыше 17 тысяч вариаций описаний состояния дел по итогу приключения. А что провисло? Для меня это url акт, url но скорее всего по причине общей унылой атмосферы проклятой земли. Как-то это угнетает. Что вообще в игре напрягает? Эти постоянные приближения камеры даже при самом мелком разговоре. В 90 диалогов это лишнее. Можно ли тут пропустить сопартийца идя по сюжету? Легко. Можно так же и убить сгоряча. Кого лучше выбрать в партию? В принципе из каждого сопартийца в лагере за очень разумные деньги можно вылепить что угодно. У некоторых есть завязанные на них квесты. Того же Минска спасть нужно с Джахейрой в своей партии. Но по большому счёту всё равно. А всё-таки? В итоге в качестве фронтлайнера я предпочитал Минтару с копьём Силунэ, хотя её легко заменяет как Карлах, так и Лаэзель. В партии обязательно должен быть вор и если это не протагонист, то лучше сделать упор на Астариона с двумя одноручными арбалетами. Поддержку я спихнул на Шедоухарт, которая была просто незаменима во втором Акте со своими Стражами духа. Ей достаточно было вызвать их и просто ходить между противниками. В третьем акте её польза в целом пошатнулась, так что вместо неё на сложный бой можно брать любого боевика. Тех же Карлах или Лаэзель. Как там с лутом? Прекрасно. Специальная олимпиада по раскладыванию легендарок по своим соратникам ждёт вас! Можно ли здесь сохраняться по желанию? Да, причём сохраняться можно и во время боя и во время разговора. Всё отрабатывается при загрузке файла сохранения без накладок. Вот я прошёл прошла BG3, посмотрел посмотрела на всё это и идеальную в своём роде концовку. Имеет ли смысл перепроходить второй раз? Ты почти наверняка пропустил пропустила Тёмного Соблазна (The Dark Urge) в качестве протагониста. А ведь именно он всё это заварил! h1 Локализация h1 Без проблем. Можно включать. Язык субтитров и описаний переключается по правой кнопке в ланчере Steam во вкладке Общие. Судя по английской озвучке перевод субтитров в целом правильно доносит информацию до игрока. h1 Как убрать ланчер Лариан? h1 Правая кнопка в ланчере Steam, вкладка Общие, Параметры запуска code command --skip-launcher code h1 GNU Linux h1 Спустился в Авернус вместе с Карлах на url с процессором AMD Ryzen 9 5900X, видеокартой Nvidia GTX 4070 (версия драйвера 580.142), монитором QHD, SSD и 32 ГБ оперативной памяти под управлением Ubuntu 24.04. Вплоть до конца второго акта родной порт отработал без нареканий. Третий акт был испорчен регулярным появлением сообщения Ошибка 804 , которое означало, что здесь и сейчас сохраниться не получится. В процессе беспорядочного поиска решения проблемы я переключился на Windows-порт (Proton 10.0-4), но предположительно положение исправила чистка save-файлов (первый раз удалил 90 от имеющихся). Такое впечатление, что с ростом объёма save-файлов их общее число нужно сокращать. Пару раз проблема возвращалась, но более жёсткая чистка save-файлов её решала. b P.S. b Этот и url мои обзоры url можно глянуть у куратора url линуксоида. url",0.024,0.958,0.018,-0.8473,negative,0
