game_name,game_genre,review,voted_up,timestamp_created,language,playtime_forever,review_clean,detected_language,review_english,vader_neg,vader_neu,vader_pos,vader_compound,sentiment,vader_voted_match
Dragon Age Inquisition,RPG,"Thank you, Dragon Age: Veilguard, for helping people realize how good this game actually is, i've been a DA Inquisition truther since day ONE",True,2026-05-24 04:51:15,english,6871,"Thank you, Dragon Age Veilguard, for helping people realize how good this game actually is, i've been a DA Inquisition truther since day ONE",english,"Thank you, Dragon Age Veilguard, for helping people realize how good this game actually is, i've been a DA Inquisition truther since day ONE",0.074,0.671,0.255,0.6597,positive,1
Dragon Age Inquisition,RPG,"Just a severely frustrating game of missed potential. Also incredibly poorly optimized and requires interventions just to get it to sluggishly function. 

I'm glad I finally got around to playing this after years of putting it off, but it's likely to be a one-time play. Going through all the tedium again does not sound appealing, and the game is additionally burdened with the reality that the only three party members who ever say anything are the first three you meet. Everyone else seems to just not say anything even in the places they're thematically meant to have opinions.",False,2026-05-09 08:55:29,english,5436,"Just a severely frustrating game of missed potential. Also incredibly poorly optimized and requires interventions just to get it to sluggishly function. I'm glad I finally got around to playing this after years of putting it off, but it's likely to be a one-time play. Going through all the tedium again does not sound appealing, and the game is additionally burdened with the reality that the only three party members who ever say anything are the first three you meet. Everyone else seems to just not say anything even in the places they're thematically meant to have opinions.",english,"Just a severely frustrating game of missed potential. Also incredibly poorly optimized and requires interventions just to get it to sluggishly function. I'm glad I finally got around to playing this after years of putting it off, but it's likely to be a one-time play. Going through all the tedium again does not sound appealing, and the game is additionally burdened with the reality that the only three party members who ever say anything are the first three you meet. Everyone else seems to just not say anything even in the places they're thematically meant to have opinions.",0.083,0.807,0.111,0.4748,positive,0
Dragon Age Inquisition,RPG,"This game should be everything I ever wanted, and there is a good game in there; but it is covered in so much bloat that the good parts get no chance to shine. 

Credit where credit is due: the writing on the main plotline is great, and the companions quests are at least good. I don’t like all the companions but they are a very diverse and interesting cast, the voice acting is great, and some are among my all time favorites. 
The ending is somewhat lacking, but the big hero moment that propels you into the MC role and the villain reveal are top notch. If this was what the game was about, it would get a very different review from me. 

Unfortunately, what the game actually spends time on is searching every inch of wide, wide open areas where there is nothing interesting to do. You meet nameless enemies, you fight them; or you wonder how the hell you’ll get to a certain spot. Neither is interesting.
For the former, the combat isn’t bad, but once you have a strategy it gets extremely repetitive. You can do it in your sleep in no time. And it is slow. It’s easy to keep your party safe, but doing damage is much harder. Big fights are often just a slow, slow grind while you are never in any real danger. 
For the latter, it boggles the mind that they would make exploring so unpleasant if it was meant to be a staple of the game: your character is slow (compared to what you have traverse), drives like a three-wheeled cart, and can’t jump over more than a couple inches; yes, you get mounts; no, it doesn’t solve anything, because it is even clunkier and barely faster. 

If clearing the map was at least meaningful, you could make your peace with that, but it is just… collectibles. Want to scour these areas for mysterious shards? What about mosaic pieces? Famous bottles? Star-gazing spots? Mines and timber yards? Famous mugs? Gears of various sizes and shapes? What about doing all that again IN THE NEXT AREA?
And that’’s without picking up all the junk loot and crafting materials. It all just feels like a chore. Even dragons. “Oh we heard you liked fighting dragons, so now you can search and fight ten of them”! Yeah, and I can’t tell one from the other. Flemeth, the Archdemon, the temple of sacred ashes… even the dragon from the bone pit, I can at least name. These? Fought, lotted, and forgotten.

Then there is the war table. Again, credit where credit is due: I like that they attempted a way for you to feel like you were leading a Thadeas spanning organization instead of nine companions, but the implementation doesn’t work. As is, you get to come back to the war table every time you are near a fast travel point, send your advisors on various tasks and… then you forget about it. The writing is fine, but it never means anything.

All this is supposedly to grow your faction, putting Thadeas best and brightest to work to save the world. That’s the good stuff. Too bad you never see it. Plot wise, the organization… doesn't really do much. It’s almost all you. They fight one battle, at the end, with a lackluster cutscene. And the villain doesn’t even seem to care. 
Worse, nothing you do changes what you see. In origin, when you recruited allies they’d send a liaison to your camp. They couldn’t bother to do that here? You can recruit all these agents, you make so many choices… and the people around you barely change. 
And your stronghold. First time you see it, it’s great. And you can customize it, cosmetically, a little. But it feels like far too little. 

And the DLCs… Jaws of Hakkon is maybe a little better than the average open area, but that is not saying much. The less said about the rest the better. 

Last but not least, the game is too old to be this buggy still. Just in this playthrough, I got the wrong romance cutscene despite never flirting with the other character, ever NPC referenced a different outcome to the Orlesian quest than the one I got, and the dragon skulls in my keep never appeared even after I slayed them all. 
It’s a bitter thing to say, but I do recommend you skip this unless you specifically want something you can farm while doing something else, and I can’t imagine you’d be here if that was what you were looking for.",False,2026-05-11 14:25:47,english,5026,"This game should be everything I ever wanted, and there is a good game in there but it is covered in so much bloat that the good parts get no chance to shine. Credit where credit is due the writing on the main plotline is great, and the companions quests are at least good. I don t like all the companions but they are a very diverse and interesting cast, the voice acting is great, and some are among my all time favorites. The ending is somewhat lacking, but the big hero moment that propels you into the MC role and the villain reveal are top notch. If this was what the game was about, it would get a very different review from me. Unfortunately, what the game actually spends time on is searching every inch of wide, wide open areas where there is nothing interesting to do. You meet nameless enemies, you fight them or you wonder how the hell you ll get to a certain spot. Neither is interesting. For the former, the combat isn t bad, but once you have a strategy it gets extremely repetitive. You can do it in your sleep in no time. And it is slow. It s easy to keep your party safe, but doing damage is much harder. Big fights are often just a slow, slow grind while you are never in any real danger. For the latter, it boggles the mind that they would make exploring so unpleasant if it was meant to be a staple of the game your character is slow (compared to what you have traverse), drives like a three-wheeled cart, and can t jump over more than a couple inches yes, you get mounts no, it doesn t solve anything, because it is even clunkier and barely faster. If clearing the map was at least meaningful, you could make your peace with that, but it is just collectibles. Want to scour these areas for mysterious shards? What about mosaic pieces? Famous bottles? Star-gazing spots? Mines and timber yards? Famous mugs? Gears of various sizes and shapes? What about doing all that again IN THE NEXT AREA? And that s without picking up all the junk loot and crafting materials. It all just feels like a chore. Even dragons. Oh we heard you liked fighting dragons, so now you can search and fight ten of them ! Yeah, and I can t tell one from the other. Flemeth, the Archdemon, the temple of sacred ashes even the dragon from the bone pit, I can at least name. These? Fought, lotted, and forgotten. Then there is the war table. Again, credit where credit is due I like that they attempted a way for you to feel like you were leading a Thadeas spanning organization instead of nine companions, but the implementation doesn t work. As is, you get to come back to the war table every time you are near a fast travel point, send your advisors on various tasks and then you forget about it. The writing is fine, but it never means anything. All this is supposedly to grow your faction, putting Thadeas best and brightest to work to save the world. That s the good stuff. Too bad you never see it. Plot wise, the organization doesn't really do much. It s almost all you. They fight one battle, at the end, with a lackluster cutscene. And the villain doesn t even seem to care. Worse, nothing you do changes what you see. In origin, when you recruited allies they d send a liaison to your camp. They couldn t bother to do that here? You can recruit all these agents, you make so many choices and the people around you barely change. And your stronghold. First time you see it, it s great. And you can customize it, cosmetically, a little. But it feels like far too little. And the DLCs Jaws of Hakkon is maybe a little better than the average open area, but that is not saying much. The less said about the rest the better. Last but not least, the game is too old to be this buggy still. Just in this playthrough, I got the wrong romance cutscene despite never flirting with the other character, ever NPC referenced a different outcome to the Orlesian quest than the one I got, and the dragon skulls in my keep never appeared even after I slayed them all. It s a bitter thing to say, but I do recommend you skip this unless you specifically want something you can farm while doing something else, and I can t imagine you d be here if that was what you were looking for.",english,"This game should be everything I ever wanted, and there is a good game in there but it is covered in so much bloat that the good parts get no chance to shine. Credit where credit is due the writing on the main plotline is great, and the companions quests are at least good. I don t like all the companions but they are a very diverse and interesting cast, the voice acting is great, and some are among my all time favorites. The ending is somewhat lacking, but the big hero moment that propels you into the MC role and the villain reveal are top notch. If this was what the game was about, it would get a very different review from me. Unfortunately, what the game actually spends time on is searching every inch of wide, wide open areas where there is nothing interesting to do. You meet nameless enemies, you fight them or you wonder how the hell you ll get to a certain spot. Neither is interesting. For the former, the combat isn t bad, but once you have a strategy it gets extremely repetitive. You can do it in your sleep in no time. And it is slow. It s easy to keep your party safe, but doing damage is much harder. Big fights are often just a slow, slow grind while you are never in any real danger. For the latter, it boggles the mind that they would make exploring so unpleasant if it was meant to be a staple of the game your character is slow (compared to what you have traverse), drives like a three-wheeled cart, and can t jump over more than a couple inches yes, you get mounts no, it doesn t solve anything, because it is even clunkier and barely faster. If clearing the map was at least meaningful, you could make your peace with that, but it is just collectibles. Want to scour these areas for mysterious shards? What about mosaic pieces? Famous bottles? Star-gazing spots? Mines and timber yards? Famous mugs? Gears of various sizes and shapes? What about doing all that again IN THE NEXT AREA? And that s without picking up all the junk loot and crafting materials. It all just feels like a chore. Even dragons. Oh we heard you liked fighting dragons, so now you can search and fight ten of them ! Yeah, and I can t tell one from the other. Flemeth, the Archdemon, the temple of sacred ashes even the dragon from the bone pit, I can at least name. These? Fought, lotted, and forgotten. Then there is the war table. Again, credit where credit is due I like that they attempted a way for you to feel like you were leading a Thadeas spanning organization instead of nine companions, but the implementation doesn t work. As is, you get to come back to the war table every time you are near a fast travel point, send your advisors on various tasks and then you forget about it. The writing is fine, but it never means anything. All this is supposedly to grow your faction, putting Thadeas best and brightest to work to save the world. That s the good stuff. Too bad you never see it. Plot wise, the organization doesn't really do much. It s almost all you. They fight one battle, at the end, with a lackluster cutscene. And the villain doesn t even seem to care. Worse, nothing you do changes what you see. In origin, when you recruited allies they d send a liaison to your camp. They couldn t bother to do that here? You can recruit all these agents, you make so many choices and the people around you barely change. And your stronghold. First time you see it, it s great. And you can customize it, cosmetically, a little. But it feels like far too little. And the DLCs Jaws of Hakkon is maybe a little better than the average open area, but that is not saying much. The less said about the rest the better. Last but not least, the game is too old to be this buggy still. Just in this playthrough, I got the wrong romance cutscene despite never flirting with the other character, ever NPC referenced a different outcome to the Orlesian quest than the one I got, and the dragon skulls in my keep never appeared even after I slayed them all. It s a bitter thing to say, but I do recommend you skip this unless you specifically want something you can farm while doing something else, and I can t imagine you d be here if that was what you were looking for.",0.119,0.718,0.163,0.9914,positive,0
Dragon Age Inquisition,RPG,"Although DAO is my favorite, this is probably the overall best Dragon Age game. (I've spent more time with this game than Steam says)",True,2026-05-17 02:00:50,english,553,"Although DAO is my favorite, this is probably the overall best Dragon Age game. (I've spent more time with this game than Steam says)",english,"Although DAO is my favorite, this is probably the overall best Dragon Age game. (I've spent more time with this game than Steam says)",0.0,0.753,0.247,0.802,positive,1
Dragon Age Inquisition,RPG,"Where do I even start. I have played 65 hours and I still feel like I am not 50% done with this game. I have loved every minute of this game so far (eecept a few inconveniences)

Pros: 
- 65 hours in and still ALOT left!
- The scenery is amazingly beautiful with alot of varied weather and moods.
- The characters you meet have diverse personalities.
- The story is exciting and unpredictable. The twist and turns keep me engaged and in wonder for what might happen next.
- Many romance options!! <3 With adorable cutscenes!
- The game gives you so many choices that will decide how the story progresses forward. Nerve wracking and sometimes difficult, but also exciting!
- Character creation is super fun. Much to choose from and edit.
- The music is immersive and beautiful for all the places you travel to. They fit the moods of the locations really well.

Cons:
- When choosing a dialogue choice while in a conversation the reply from the main character will sometimes sound completely different from the choice. For example the choice can be, ""I am sorry"", and the main character will say, ""I am sorry you feel that way. You took this harder than I thought you would."" Some negative twist to a choice I thought would be a caring and kind one.
- Personally not a fan of the inventory (weapons and armor). I wish for every class the weapons and armor only they can use will be the only items you see for them.
- Game can crash unexpecpecedly
- When a cutscene will happen the screen turns black and need to close the game",True,2026-05-27 15:27:29,english,5272,"Where do I even start. I have played 65 hours and I still feel like I am not 50 done with this game. I have loved every minute of this game so far (eecept a few inconveniences) Pros - 65 hours in and still ALOT left! - The scenery is amazingly beautiful with alot of varied weather and moods. - The characters you meet have diverse personalities. - The story is exciting and unpredictable. The twist and turns keep me engaged and in wonder for what might happen next. - Many romance options!! 3 With adorable cutscenes! - The game gives you so many choices that will decide how the story progresses forward. Nerve wracking and sometimes difficult, but also exciting! - Character creation is super fun. Much to choose from and edit. - The music is immersive and beautiful for all the places you travel to. They fit the moods of the locations really well. Cons - When choosing a dialogue choice while in a conversation the reply from the main character will sometimes sound completely different from the choice. For example the choice can be, ""I am sorry"", and the main character will say, ""I am sorry you feel that way. You took this harder than I thought you would."" Some negative twist to a choice I thought would be a caring and kind one. - Personally not a fan of the inventory (weapons and armor). I wish for every class the weapons and armor only they can use will be the only items you see for them. - Game can crash unexpecpecedly - When a cutscene will happen the screen turns black and need to close the game",english,"Where do I even start. I have played 65 hours and I still feel like I am not 50 done with this game. I have loved every minute of this game so far (eecept a few inconveniences) Pros - 65 hours in and still ALOT left! - The scenery is amazingly beautiful with alot of varied weather and moods. - The characters you meet have diverse personalities. - The story is exciting and unpredictable. The twist and turns keep me engaged and in wonder for what might happen next. - Many romance options!! 3 With adorable cutscenes! - The game gives you so many choices that will decide how the story progresses forward. Nerve wracking and sometimes difficult, but also exciting! - Character creation is super fun. Much to choose from and edit. - The music is immersive and beautiful for all the places you travel to. They fit the moods of the locations really well. Cons - When choosing a dialogue choice while in a conversation the reply from the main character will sometimes sound completely different from the choice. For example the choice can be, ""I am sorry"", and the main character will say, ""I am sorry you feel that way. You took this harder than I thought you would."" Some negative twist to a choice I thought would be a caring and kind one. - Personally not a fan of the inventory (weapons and armor). I wish for every class the weapons and armor only they can use will be the only items you see for them. - Game can crash unexpecpecedly - When a cutscene will happen the screen turns black and need to close the game",0.07,0.758,0.172,0.9876,positive,1
Dragon Age Inquisition,RPG,"This game could EASILY be a 100000/10. They only need to remove the EA PLAY requirement, then it will be perfect!",True,2026-06-06 21:07:57,english,10359,"This game could EASILY be a 100000 10. They only need to remove the EA PLAY requirement, then it will be perfect!",english,"This game could EASILY be a 100000 10. They only need to remove the EA PLAY requirement, then it will be perfect!",0.0,0.649,0.351,0.8822,positive,1
Dragon Age Inquisition,RPG,This was actually the first Dragon Age game I had played. The experience was fun overall. I enjoyed the characters and the story. I honestly enjoyed this one much more than Dragon Age: The Veilguard. I'd definitely recommend you try it out.,True,2026-06-01 08:09:56,english,6062,This was actually the first Dragon Age game I had played. The experience was fun overall. I enjoyed the characters and the story. I honestly enjoyed this one much more than Dragon Age The Veilguard. I'd definitely recommend you try it out.,english,This was actually the first Dragon Age game I had played. The experience was fun overall. I enjoyed the characters and the story. I honestly enjoyed this one much more than Dragon Age The Veilguard. I'd definitely recommend you try it out.,0.0,0.631,0.369,0.9612,positive,1
Dragon Age Inquisition,RPG,"Great, and last real, title in the DA series.  It veered off it's more turn based style to more of an action rpg.  Honestly you can see the juxtaposition....and how Veilguard went full into action rpq.  My 1st playthrough of this game was 109 hours as a mage using kb/m.  I'm doing a second playthrough now as duel wield rogue using a controller.

Lot's to explore, lot's to loot, lot's to like.",True,2026-05-23 16:10:41,english,8122,"Great, and last real, title in the DA series. It veered off it's more turn based style to more of an action rpg. Honestly you can see the juxtaposition....and how Veilguard went full into action rpq. My 1st playthrough of this game was 109 hours as a mage using kb m. I'm doing a second playthrough now as duel wield rogue using a controller. Lot's to explore, lot's to loot, lot's to like.",english,"Great, and last real, title in the DA series. It veered off it's more turn based style to more of an action rpg. Honestly you can see the juxtaposition....and how Veilguard went full into action rpq. My 1st playthrough of this game was 109 hours as a mage using kb m. I'm doing a second playthrough now as duel wield rogue using a controller. Lot's to explore, lot's to loot, lot's to like.",0.0,0.879,0.121,0.8625,positive,1
Dragon Age Inquisition,RPG,"Después de un década, demuestra el gran trabajo que se hizo en su momento. Aquí termino Dragon Age.",True,2026-05-12 15:37:18,latam,2917,"Después de un década, demuestra el gran trabajo que se hizo en su momento. Aquí termino Dragon Age.",latam,"After a decade, it shows the great work that was done at the time. Dragon Age ends here.",0.0,0.806,0.194,0.6249,positive,1
Dragon Age Inquisition,RPG,good story lore and gameplay,True,2026-06-01 10:33:48,english,4737,good story lore and gameplay,english,good story lore and gameplay,0.0,0.58,0.42,0.4404,positive,1
